	African	CelticEnglish	EastAsian	European	Greek	Hispanic	Jewish	Muslim	Nordic	SouthAsian
Eric Green	0.028150447	0.817035	0.004774801	0.07330513	0.00059633236	0.0072245803	0.0008368791	0.0052780122	0.042319674	0.020479051
Denis Noble	0.046986636	0.8648182	0.0020935987	0.063262604	0.001005668	0.0097877	0.00027263456	0.0063611167	0.0032513551	0.0021605263
Svante Paabo	0.0061158305	0.0020129886	0.0036247568	0.22949544	0.0010930541	0.008571614	0.00029261704	0.0013370889	0.7473361	0.00012045775
Howard Cash	0.022178575	0.9039664	0.016982635	0.024100551	0.0006327796	0.005884578	0.00041553372	0.003155258	0.0011243891	0.021559227
Peter J Hunter	0.0015610345	0.9625454	0.0012331412	0.03269325	0.00012734918	0.00021568063	1.463636e-06	0.0004909067	0.00034707208	0.00078465976
Robert Huber	0.0027645344	0.006714489	9.3279865e-05	0.98560023	3.761393e-05	0.00097101316	0.00015917941	7.505562e-05	0.0034515595	0.00013307498
Tom Blundell	0.007639291	0.94403213	0.00025629462	0.016352724	0.00011043801	0.002144166	0.0034707147	0.00030794856	0.025230061	0.000456199
Kurt Wuthrich	0.0032187328	0.008858885	0.19219002	0.7613733	0.00026885222	0.014648189	0.00014637428	0.0028547333	0.013538519	0.0029024468
Mathieu Blanchette	0.0004093568	0.00021914489	9.7094366e-05	0.9984143	6.693718e-06	0.00037031696	2.5420013e-06	3.1201722e-05	0.00038444437	6.4848515e-05
Elana Conti	0.06771835	0.27763823	0.041677706	0.14828034	0.006302839	0.39017257	0.039609604	0.011488623	0.0054020975	0.011709676
Charles DeLisi	0.0131925335	0.11478532	0.009836361	0.8266014	0.003070129	0.009875609	0.0032394833	0.0046803807	0.0046264906	0.0100923125
Eran Segal	0.0008006272	0.0015692025	0.00021606166	0.0025089227	5.009891e-06	0.0009147781	0.99156755	0.00039555682	8.891642e-05	0.0019332949
Stephen Burley	0.018455504	0.94411063	0.006342271	0.010425385	0.0007154331	0.0061371527	0.000110691726	0.0033378021	0.0012186982	0.0091464585
Michael Eisen	0.005924429	0.016128244	0.0010980292	0.7722864	0.00016564185	0.001970337	0.16054545	0.01666449	0.024005605	0.001211388
Anne-Claude Gavin	0.0018756348	0.002012199	0.0014603488	0.9915638	0.00028504207	0.0002848388	3.7037241e-06	0.00089621416	0.0013880274	0.00023020536
Erin O'Shea	0.00012031522	0.99344975	0.0018704216	0.0015862099	7.813576e-05	0.00068422034	6.9483217e-06	0.00022563364	0.0016796902	0.0002986738
Renee Schroeder	0.0075769597	0.004826071	0.79291105	0.14528547	0.00039407125	0.040966976	0.0001213388	0.0009409152	0.0028243277	0.0041527916
Terry Speed	0.0075237383	0.8772467	0.039137874	0.0282274	0.0013833238	0.017714895	0.00048496292	0.004401639	0.0012152469	0.022664223
Claire M. Fraser-Liggett	0.008064415	0.97024024	0.0034910913	0.011825215	0.00035967492	0.0011642787	0.0002482988	0.0013270353	0.00096659805	0.0023131792
David Jaffe	0.01003422	0.16626209	0.0017903879	0.52131647	0.000103735285	0.0151366815	0.23323148	0.019179203	0.02642934	0.006516406
Morag Park	0.0030798006	0.26513404	0.59755105	0.013983085	0.000580046	0.009816119	0.00083015434	0.032661304	0.021357479	0.05500687
Bernhard O. Palsson	2.6506274e-05	0.00033609467	1.9112356e-05	0.0028089248	3.2318716e-05	0.00013829373	5.467555e-07	5.173436e-06	0.99659425	3.870926e-05
Trey Ideker	0.07017433	0.8752887	0.0036459027	0.032936398	0.000143774	0.0042214207	1.3073011e-05	0.0012372069	0.00027237882	0.012066744
Pierre-Henri Gouyon	0.044513665	0.004222981	0.00049746374	0.94718343	0.0014587205	0.00067813357	1.0134496e-05	0.0011117148	0.00021773408	0.000105969084
Daphne Koller	0.020577727	0.00964003	0.0021951646	0.19979395	0.00023688647	0.0066975816	0.74376464	0.0031933961	0.0108381845	0.003062501
Eugenia Maria del Pino Veintimilla	0.00048387496	0.0022800304	0.002483665	0.07781563	0.00018485382	0.91403407	0.00040267117	0.0012241203	0.00047027582	0.0006207777
Thomaso Poggio	0.0011163773	0.00074582704	2.3137278e-05	0.9913167	0.00031549885	0.006078527	8.4914393e-07	1.3296064e-05	0.00035776696	3.201781e-05
Mathias Uhlen	8.3959814e-05	0.00028944502	1.0287496e-05	0.69960314	4.5087154e-06	2.61826e-05	9.055362e-06	8.2025676e-05	0.29983926	5.2059e-05
Susan Lindquist	4.6885454e-08	5.671077e-07	2.696213e-08	1.8277624e-06	1.4144746e-08	1.8260523e-07	5.7505525e-09	1.17585294e-07	0.99999666	6.395834e-07
David Altshuler	0.31627452	0.10306442	0.002976011	0.49916485	0.00051991077	0.008509213	0.05636946	0.0035734344	0.0067121047	0.0028361203
George Church	0.01421127	0.8945657	0.0038790014	0.040822	0.0006649293	0.005032354	6.760732e-05	0.008140419	0.0008120444	0.03180467
Robert Weinberg	0.010107859	0.033877153	0.0029048305	0.71185565	0.0009845342	0.006463381	0.027159777	0.0018226865	0.20405619	0.0007678826
Luis Serrano	0.0006771524	0.004944946	0.0023159757	0.19431007	0.0003257113	0.79602647	8.386077e-05	0.00025314826	0.00040390872	0.0006588296
Ziv Bar-Joseph	0.109259576	0.07994796	0.012524529	0.25226358	0.002213691	0.018753486	0.48302048	0.02615188	0.0029072342	0.01295769
Barbara Wold	0.023387019	0.049008746	0.0013679822	0.9023209	0.00012765579	0.0039587463	0.005640823	0.0021795304	0.010542698	0.0014658654
Goncalo Abecasis	0.016285775	0.004954475	0.0052439845	0.37142968	0.00092479587	0.58999527	0.0001387471	0.0054035415	0.0019373713	0.0036863664
Gil Ast	0.004483658	0.1341728	0.13979076	0.28102505	0.0013488573	0.036814533	0.35531592	0.00477857	0.034238998	0.00803089
Carole Goble	0.098197535	0.3453744	0.0012546935	0.50874734	0.00024838088	0.04195736	7.46709e-05	0.0022648522	0.0015723115	0.0003083874
Isaac (Zak) Kohane	0.4920649	0.11127466	0.086817056	0.16109012	0.0055698063	0.015757207	0.014284043	0.048007406	0.004434919	0.060699943
Dana Pe'er	0.0034195166	0.007879092	0.0026210533	0.020932142	0.0044707456	0.0066427877	0.9432454	0.004407154	0.0049531306	0.0014289565
Robert Langer	0.009062409	0.057646498	0.0008708808	0.9132582	0.0004168247	0.0036866989	0.0018414924	0.0007838506	0.011787124	0.00064599473
Curtis Huttenhower	0.0064288806	0.93807584	0.0011355313	0.03469393	0.00013778252	0.0009545678	0.00016656556	0.00041619575	0.0069879876	0.0110027995
Eileen Furlong	0.025103053	0.8041692	0.08173459	0.04891982	0.0006617669	0.017279355	0.0016087163	0.0039551593	0.0092041455	0.0073641553
Kenneth Wolfe	0.0109338695	0.89951915	0.008407584	0.030478325	0.0013817501	0.0056954813	0.001863208	0.013867904	0.012567326	0.015285373
Debora Marks	0.038229976	0.43698588	0.007304327	0.2538777	0.0005117345	0.23303138	0.00037552023	0.0015580512	0.023287905	0.0048375414
Sandrine Dudoit	0.027136555	0.0005742282	5.155181e-05	0.96465355	4.3032646e-06	0.006471327	2.262795e-05	2.0834339e-05	0.0009746781	9.042941e-05
James Sharpe	0.020820495	0.9470513	0.007170933	0.011650985	0.00029134698	0.0016276954	0.0006255022	0.00715804	0.0006982521	0.0029055853
Christoph Bock	0.03260239	0.008814561	0.0002628413	0.9554607	0.00025378843	0.00060818065	3.733667e-05	0.00021631211	0.00152931	0.0002146132
Cole Trapnell	0.0007487378	0.9871946	0.00011594448	0.009182782	0.00010708437	0.00016193192	2.7265332e-07	6.3631596e-05	0.0003610835	0.002063872
Martha L. Bulyk	0.0027687154	0.00085859396	7.353979e-05	0.99444324	1.2306767e-06	0.00028925584	8.9922986e-07	4.5266384e-05	0.0013500907	0.0001690371
M. Madan Babu	0.004870883	0.010977254	0.016485902	0.0045315675	9.384289e-06	0.0005080131	0.00025129368	0.004781435	0.0018351326	0.9557491
Nikolaus Rajewsky	1.6352173e-05	0.00045819313	0.00031083764	0.9977488	8.631979e-05	9.2503986e-05	2.7781518e-05	0.00057234475	0.0005134334	0.00017344383
